,MSRP,make,model,year,engine_HP,engine_cylinders,transmission_type,number_of_doors,market_category_luxury,vehicle_style,highway_MPG,city_MPG,popularity
0,46135,BMW,1 Series M,2011,335.0,6.0,manual,2.0,1,Coupe,26,19,3916
1,40650,BMW,1 Series,2011,300.0,6.0,manual,2.0,1,Convertible,28,19,3916
2,36350,BMW,1 Series,2011,300.0,6.0,manual,2.0,1,Coupe,28,20,3916
3,29450,BMW,1 Series,2011,230.0,6.0,manual,2.0,1,Coupe,28,18,3916
4,34500,BMW,1 Series,2011,230.0,6.0,manual,2.0,1,Convertible,28,18,3916
5,31200,BMW,1 Series,2012,230.0,6.0,manual,2.0,1,Coupe,28,18,3916
6,44100,BMW,1 Series,2012,300.0,6.0,manual,2.0,1,Convertible,26,17,3916
7,39300,BMW,1 Series,2012,300.0,6.0,manual,2.0,1,Coupe,28,20,3916
8,36900,BMW,1 Series,2012,230.0,6.0,manual,2.0,1,Convertible,28,18,3916
9,37200,BMW,1 Series,2013,230.0,6.0,manual,2.0,1,Convertible,27,18,3916
10,39600,BMW,1 Series,2013,300.0,6.0,manual,2.0,1,Coupe,28,20,3916
11,31500,BMW,1 Series,2013,230.0,6.0,manual,2.0,1,Coupe,28,19,3916
12,44400,BMW,1 Series,2013,300.0,6.0,manual,2.0,1,Convertible,28,19,3916
13,37200,BMW,1 Series,2013,230.0,6.0,manual,2.0,1,Convertible,28,19,3916
14,31500,BMW,1 Series,2013,230.0,6.0,manual,2.0,1,Coupe,28,19,3916
15,48250,BMW,1 Series,2013,320.0,6.0,manual,2.0,1,Convertible,25,18,3916
16,43550,BMW,1 Series,2013,320.0,6.0,manual,2.0,1,Coupe,28,20,3916
17,2000,Audi,100,1992,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
18,2000,Audi,100,1992,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
19,2000,Audi,100,1992,172.0,6.0,automatic,4.0,1,Wagon,20,16,3105
20,2000,Audi,100,1992,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
21,2000,Audi,100,1992,172.0,6.0,manual,4.0,1,Sedan,21,16,3105
22,2000,Audi,100,1993,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
23,2000,Audi,100,1993,172.0,6.0,automatic,4.0,1,Wagon,20,16,3105
24,2000,Audi,100,1993,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
25,2000,Audi,100,1993,172.0,6.0,manual,4.0,1,Sedan,24,17,3105
26,2000,Audi,100,1993,172.0,6.0,manual,4.0,1,Sedan,21,16,3105
27,2000,Audi,100,1994,172.0,6.0,automatic,4.0,1,Wagon,21,16,3105
28,2000,Audi,100,1994,172.0,6.0,manual,4.0,1,Sedan,22,16,3105
29,2000,Audi,100,1994,172.0,6.0,manual,4.0,1,Sedan,22,17,3105
30,2000,Audi,100,1994,172.0,6.0,automatic,4.0,1,Sedan,22,16,3105
31,2000,Audi,100,1994,172.0,6.0,automatic,4.0,1,Wagon,21,16,3105
32,27495,FIAT,124 Spider,2017,160.0,4.0,manual,2.0,0,Convertible,35,26,819
33,24995,FIAT,124 Spider,2017,160.0,4.0,manual,2.0,0,Convertible,35,26,819
34,28195,FIAT,124 Spider,2017,160.0,4.0,manual,2.0,0,Convertible,35,26,819
35,2000,Mercedes-Benz,190-Class,1991,130.0,4.0,manual,4.0,1,Sedan,26,18,617
36,2000,Mercedes-Benz,190-Class,1991,158.0,6.0,manual,4.0,1,Sedan,25,17,617
37,2000,Mercedes-Benz,190-Class,1992,158.0,6.0,manual,4.0,1,Sedan,25,17,617
38,2000,Mercedes-Benz,190-Class,1992,130.0,4.0,manual,4.0,1,Sedan,26,18,617
39,2000,Mercedes-Benz,190-Class,1993,130.0,4.0,manual,4.0,1,Sedan,26,18,617
40,2000,Mercedes-Benz,190-Class,1993,158.0,6.0,manual,4.0,1,Sedan,25,17,617
41,32850,BMW,2 Series,2016,240.0,4.0,automatic,2.0,1,Coupe,35,23,3916
42,38650,BMW,2 Series,2016,240.0,4.0,automatic,2.0,1,Convertible,34,23,3916
43,48750,BMW,2 Series,2016,320.0,6.0,automatic,2.0,1,Convertible,31,20,3916
44,34850,BMW,2 Series,2016,240.0,4.0,automatic,2.0,1,Coupe,35,23,3916
45,40650,BMW,2 Series,2016,240.0,4.0,automatic,2.0,1,Convertible,34,22,3916
46,44150,BMW,2 Series,2016,320.0,6.0,automatic,2.0,1,Coupe,31,20,3916
47,32850,BMW,2 Series,2016,240.0,4.0,manual,2.0,1,Coupe,34,22,3916
48,46150,BMW,2 Series,2016,320.0,6.0,automatic,2.0,1,Coupe,30,20,3916
49,50750,BMW,2 Series,2016,320.0,6.0,automatic,2.0,1,Convertible,30,20,3916
50,46450,BMW,2 Series,2017,335.0,6.0,automatic,2.0,1,Coupe,31,21,3916
51,49050,BMW,2 Series,2017,335.0,6.0,automatic,2.0,1,Convertible,32,21,3916
52,51050,BMW,2 Series,2017,335.0,6.0,automatic,2.0,1,Convertible,32,21,3916
53,44450,BMW,2 Series,2017,335.0,6.0,automatic,2.0,1,Coupe,32,21,3916
54,38950,BMW,2 Series,2017,248.0,4.0,automatic,2.0,1,Convertible,34,23,3916
55,33150,BMW,2 Series,2017,248.0,4.0,automatic,2.0,1,Coupe,35,24,3916
56,35150,BMW,2 Series,2017,248.0,4.0,automatic,2.0,1,Coupe,33,24,3916
57,40950,BMW,2 Series,2017,248.0,4.0,automatic,2.0,1,Convertible,33,23,3916
58,2000,Audi,200,1990,162.0,5.0,automatic,4.0,1,Sedan,20,16,3105
59,2000,Audi,200,1990,162.0,5.0,manual,4.0,1,Wagon,22,15,3105
60,2000,Audi,200,1990,162.0,5.0,manual,4.0,1,Sedan,23,15,3105
61,2000,Audi,200,1991,217.0,5.0,manual,4.0,1,Sedan,22,16,3105
62,2000,Audi,200,1991,217.0,5.0,manual,4.0,1,Wagon,22,16,3105
63,2000,Audi,200,1991,162.0,5.0,automatic,4.0,1,Sedan,20,16,3105
64,25170,Chrysler,200,2015,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
65,23950,Chrysler,200,2015,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
66,29370,Chrysler,200,2015,295.0,6.0,automatic,4.0,0,Sedan,29,18,1013
67,21995,Chrysler,200,2015,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
68,26625,Chrysler,200,2015,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
69,30825,Chrysler,200,2015,295.0,6.0,automatic,4.0,0,Sedan,29,18,1013
70,21995,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
71,27795,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
72,31785,Chrysler,200,2016,295.0,6.0,automatic,4.0,0,Sedan,29,18,1013
73,29905,Chrysler,200,2016,295.0,6.0,automatic,4.0,0,Sedan,29,18,1013
74,22490,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
75,27570,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
76,25690,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
77,24490,Chrysler,200,2016,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
78,29905,Chrysler,200,2017,295.0,6.0,automatic,4.0,0,Sedan,28,18,1013
79,31785,Chrysler,200,2017,295.0,6.0,automatic,4.0,0,Sedan,28,18,1013
80,26685,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
81,22490,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
82,25690,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
83,30900,Chrysler,200,2017,295.0,6.0,automatic,4.0,0,Sedan,28,18,1013
84,27795,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
85,21995,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
86,24490,Chrysler,200,2017,184.0,4.0,automatic,4.0,0,Sedan,36,23,1013
87,2000,Nissan,200SX,1996,115.0,4.0,manual,2.0,0,Coupe,36,26,2009
88,2000,Nissan,200SX,1996,115.0,4.0,manual,2.0,0,Coupe,36,26,2009
89,2000,Nissan,200SX,1996,140.0,4.0,manual,2.0,0,Coupe,29,21,2009
90,2000,Nissan,200SX,1997,140.0,4.0,manual,2.0,0,Coupe,29,21,2009
91,2000,Nissan,200SX,1997,115.0,4.0,manual,2.0,0,Coupe,35,25,2009
92,2000,Nissan,200SX,1997,115.0,4.0,manual,2.0,0,Coupe,35,25,2009
93,2000,Nissan,200SX,1998,115.0,4.0,manual,2.0,0,Coupe,35,25,2009
94,2000,Nissan,200SX,1998,115.0,4.0,manual,2.0,0,Coupe,35,25,2009
95,2073,Nissan,200SX,1998,140.0,4.0,manual,2.0,0,Coupe,28,20,2009
96,3713,Nissan,240SX,1996,155.0,4.0,manual,2.0,0,Coupe,26,19,2009
97,3520,Nissan,240SX,1996,155.0,4.0,manual,2.0,0,Coupe,26,19,2009
98,3910,Nissan,240SX,1997,155.0,4.0,manual,2.0,0,Coupe,26,19,2009
99,4182,Nissan,240SX,1997,155.0,4.0,manual,2.0,0,Coupe,26,19,2009
100,4107,Nissan,240SX,1997,155.0,4.0,manual,2.0,0,Coupe,26,19,2009
101,4299,Nissan,240SX,1998,155.0,4.0,manual,2.0,0,Coupe,25,20,2009
102,4693,Nissan,240SX,1998,155.0,4.0,manual,2.0,0,Coupe,25,20,2009
103,4107,Nissan,240SX,1998,155.0,4.0,manual,2.0,0,Coupe,25,20,2009
104,2000,Volvo,240,1991,114.0,4.0,manual,4.0,1,Wagon,26,19,870
105,2000,Volvo,240,1991,114.0,4.0,automatic,4.0,1,Wagon,23,18,870
106,2000,Volvo,240,1991,114.0,4.0,manual,4.0,1,Sedan,26,19,870
107,2000,Volvo,240,1992,114.0,4.0,manual,4.0,1,Sedan,26,19,870
108,2000,Volvo,240,1992,114.0,4.0,manual,4.0,1,Wagon,26,19,870
109,2000,Volvo,240,1992,114.0,4.0,manual,4.0,1,Sedan,26,19,870
110,2000,Volvo,240,1993,114.0,4.0,manual,4.0,1,Sedan,26,19,870
111,2000,Volvo,240,1993,114.0,4.0,manual,4.0,1,Wagon,25,18,870
112,16020,Mazda,2,2012,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
113,14530,Mazda,2,2012,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
114,16860,Mazda,2,2012,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
115,15370,Mazda,2,2012,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
116,17050,Mazda,2,2013,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
117,15560,Mazda,2,2013,100.0,4.0,automatic,4.0,0,4dr Hatchback,34,28,586
118,16210,Mazda,2,2013,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
119,14720,Mazda,2,2013,100.0,4.0,manual,4.0,0,4dr Hatchback,35,29,586
